"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"217","Malcolm Brown","LA","rb","9","DAL","4.2","0","0","0","0","0","0","0","4.7988","20.2685","0.1734","0.6472","0.5171","4.336","0.0204","0.037","0.0185","0.0057","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"218","Darrynton Evans","TEN","rb","7","@DEN","4.2","0","0","0","0","0","0","0","2.2747","9.2879","0.0666","1.8197","1.4352","11.3145","0.0456","0.0339","0.0169","0.0038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"219","Willie Snead IV","BLT","wr","8","CLV","6.3","4000","0","0","0","0","0","0","0.2359","1.2971","0.0114","3.7071","2.4838","25.6891","0.1561","0.0421","0.021","0.0037","12.0932","0.0117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"220","Chris Conley","JAX","wr","7","IND","6.3","4000","0","0","0","0","0","0","0","0","0","3.7993","2.2927","29.6031","0.1594","0.0338","0.0169","0.0081","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"221","C.J. Uzomah","CIN","te","9","LAC","4.5","3800","0","0","0","0","0","0","0","0","0","2.5065","1.7562","17.5391","0.1563","0.015","0.0075","0.0073","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"222","Cameron Brate","TB","te","13","@NO","4.4","3000","0","0","0","0","0","0","0","0","0","2.2892","1.6068","15.9982","0.1909","0.0187","0.0093","0.0055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"223","J.J. Arcega-Whiteside","PHI","wr","9","@WAS","6","3900","0","0","0","0","0","0","0","0","0","3.4075","2.0168","28.8174","0.1718","0.0203","0.0101","0.0042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"224","Frank Gore","NYJ","rb","11","@BUF","3.8","4000","0","0","0","0","0","0","5.3153","19.8714","0.0872","0.955","0.7195","5.5043","0.0062","0.0332","0.0166","0.0015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"225","Corey Clement","PHI","rb","9","@WAS","3.8","4000","0","0","0","0","0","0","3.8091","15.3404","0.1269","1.0563","0.8895","5.6606","0.0121","0.0518","0.0259","0.0072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"226","Boston Scott","PHI","rb","9","@WAS","3.8","4800","0","0","0","0","0","0","2.506","10.5878","0.0933","1.363","1.1276","8.0129","0.0224","0.0598","0.0299","0.0019","31.4622","0.0132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
